time,open,high,low,close,TWAP,VWAP,Plot
1702425600,324.82,337.5,297.2,329.82,321.50666666666666,321.50666666666666,2.6127790687074985
1702512000,329.82,395,319.04,375.83,363.28999999999996,363.28999999999996,2.8795330538383435
1702598400,375.83,393.08,347.63,348.97,363.2266666666667,363.2266666666667,2.944489959362629
1702684800,348.97,356,315.82,335.27,335.69666666666666,335.69666666666666,2.6495876803764555
1702771200,335.27,343.33,303.95,315.36,320.88,320.88,2.480780729818829
1702857600,315.36,329.99,281,328.04,313.01,313.01,2.3685105714928727
1702944000,328.04,338.65,300.45,312.37,317.15666666666664,317.15666666666664,2.41888171283882
1703030400,312.37,331.09,303,309.76,314.6166666666666,314.6166666666666,2.3590732587500645
1703116800,309.76,337.12,290,305.54,310.8866666666667,310.8866666666667,2.3101261380204328
1703203200,305.54,310.01,270.05,278.67,286.24333333333334,286.24333333333334,2.1239900608524493
1703289600,278.67,287.96,263,281,277.32,277.32,1.9992574151039317
1703376000,281,296,262,275.31,277.77,277.77,1.9832279979550753
1703462400,275.31,277,252.36,271.74,267.03333333333336,267.03333333333336,1.873437231601727
1703548800,271.74,279.4,250.88,259.89,263.39,263.39,1.8417035576202525
1703635200,259.89,333,259.89,315.91,302.93333333333334,302.93333333333334,2.0815513710533597
1703721600,315.91,325.16,295.44,304.5,308.3666666666667,308.3666666666667,2.239331815762772
1703808000,304.5,306.48,260,281.17,282.55,282.55,2.053887673248812
1703894400,281.17,296.85,265.26,278.38,280.16333333333336,280.16333333333336,1.996470931352996
1703980800,278.38,282.39,263.99,265.9,270.76,270.76,1.9352995952983596
1704067200,265.9,303.52,258.77,275.2,279.16333333333336,279.16333333333336,1.9555879201048834
1704153600,275.2,298.72,263.74,276.69,279.7166666666667,279.7166666666667,1.973609725212656
1704240000,276.69,277.79,243,257.9,259.56333333333333,259.56333333333333,1.8349839313982101
1704326400,257.9,270.68,248.03,262.13,260.28000000000003,260.28000000000003,1.7911726443867184
1704412800,262.13,264.99,234.3,243.08,247.45666666666668,247.45666666666668,1.7239936160021954
1704499200,243.08,248.02,231.66,238.07,239.25,239.24999999999997,1.6403370959219752
